매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47484904,200,30,3,35.8395527876085,128.756802879509,경상북도 경산시 조영동,509,204,58,48,2053,58,143
47484900,100,19,1,35.8388421989605,128.754913595436,경상북도 경산시 조영동,340,66,53,71,1866,121,225
47484898,200,30,2,35.837971403456,128.758915493752,경상북도 경산시 조영동,578,422,30,174,2181,101,231
47484891,200,36,1,35.8395802688629,128.752860895366,경상북도 경산시 조영동,367,82,66,249,1727,67,188
47484889,100,23,2,35.8396437468102,128.755117290019,경상북도 경산시 조영동,426,60,62,159,1916,52,195
47484887,100,25,1,35.838989834665,128.752936215772,경상북도 경산시 조영동,302,68,32,209,1707,47,235
47484886,100,25,3,35.8409482277562,128.752233391937,경상북도 경산시 임당동,522,232,204,396,1748,2,147
47484885,100,21,3,35.8399842780487,128.752821423436,경상북도 경산시 조영동,412,114,89,281,1744,85,152
47484880,150,28,3,35.839797029903,128.752944572847,경상북도 경산시 조영동,391,91,67,259,1744,82,164
47484803,200,32,3,35.8396356372135,128.759565129027,경상북도 경산시 압량읍 부적리,711,312,87,131,2291,44,73
47484796,200,40,2,35.8392730233987,128.750868403338,경상북도 경산시 대동,378,250,155,351,1551,116,335
47484106,100,23,2,35.8432223277009,128.754651964021,경상북도 경산시 조영동,789,183,167,446,2067,183,240
47484095,200,31,2,35.8394751077968,128.752725003588,경상북도 경산시 조영동,356,88,77,252,1711,53,204
47483892,100,18,3,35.8384280556348,128.757236901207,경상북도 경산시 조영동,462,263,73,118,2050,116,222
47483533,200,30,2,35.8385240270355,128.758634759051,경상북도 경산시 조영동,578,379,73,109,2173,102,171
47483308,200,32,2,35.8382540618816,128.759581754762,경상북도 경산시 조영동,645,466,38,190,2247,37,208
47483222,300,30,3,35.8396356372135,128.759565129027,경상북도 경산시 압량읍 부적리,711,312,87,131,2291,44,73
47481794,100,27,1,35.83898822610862,128.7529352950363,경상북도 경산시 조영동,302,68,31,209,1706,48,234
47481553,200,29,2,35.8379810484756,128.753082894221,경상북도 경산시 대동,191,145,37,110,1678,68,127
47481156,100,17,1,35.8378143531176,128.751506539883,경상북도 경산시 대동,210,247,37,197,1538,62,226
47480533,200,30,3,35.83951247128831,128.75084854474608,경상북도 경산시 대동,403,254,179,371,1561,116,322
47479084,200,29,2,35.8380704794718,128.756572093403,경상북도 경산시 조영동,390,232,36,138,1981,125,250
47479023,200,28,3,35.8400589135422,128.756077977503,경상북도 경산시 조영동,511,158,62,108,2014,51,184
47476336,70,18,3,35.8376695213169,128.751371994115,경상북도 경산시 대동,205,266,52,199,1522,81,231
47476094,100,30,4,35.8383080641445,128.757499191897,경상북도 경산시 조영동,476,290,97,120,2068,142,228
47475961,70,18,1,35.8430591257438,128.750328426971,경상북도 경산시 임당동,788,317,68,686,1743,46,49
47475854,150,25,1,35.84071350097656,128.75602722168014,경상북도 경산시 조영동,570,129,30,149,2039,24,192
47475803,50,15,2,35.8429379920893,128.75505508234,경상북도 경산시 조영동,767,146,121,400,2080,146,223
47475685,100,23,2,35.8387477725653,128.757877639193,경상북도 경산시 조영동,529,307,137,64,2115,137,173
47475585,50,13,3,35.8429379920886,128.755055082341,경상북도 경산시 조영동,767,146,121,400,2080,146,223
